ID,RUT,Razon Social,Fecha de actuacion (1era firma),Fecha de registro (ultima firma),Fecha de aprobacion x SII,Anio,Mes,Comuna Tributaria,Region Tributaria,Codigo de sociedad,Tipo de actuacion,Capital,Comuna Social,Region Social
3628377,77503248-0,Cafetería Mauricio Daniel Diaz Quintana E.I.R.L.,03-01-2022,03-01-2022,03-01-2022,2022,Enero,OLIVAR,6,EIRL,CONSTITUCIÓN,2000000,OLIVAR,6
3630700,77503888-8,HCG SpA,04-01-2022,04-01-2022,04-01-2022,2022,Enero,LA REINA,13,SpA,CONSTITUCIÓN,5000000,LA REINA,13
3629926,77504084-K,Reparaciones Alexis Espinoza E.I.R.L.,04-01-2022,04-01-2022,04-01-2022,2022,Enero,TALAGANTE,13,EIRL,CONSTITUCIÓN,1500000,TALAGANTE,13
3629689,77504915-4,Sociedad de Conservación Ecológica Rio Diguillin SpA,05-01-2022,05-01-2022,05-01-2022,2022,Enero,PINTO,16,SpA,CONSTITUCIÓN,100000000,PINTO,16
3626212,77505284-8,Importaciones y Exportaciones Weber e-Store Spa,05-01-2022,05-01-2022,05-01-2022,2022,Enero,ÑUÑOA,13,SpA,CONSTITUCIÓN,15000000,ÑUÑOA,13
3634632,77505522-7,SERVICIOS Y CLIMATIZACION J&J SPA,06-01-2022,06-01-2022,06-01-2022,2022,Enero,RENGO,6,SpA,CONSTITUCIÓN,2000000,RENGO,6
3634879,77506002-6,PISCINA Y TERRAZA POLOS SPA,06-01-2022,06-01-2022,06-01-2022,2022,Enero,INDEPENDENCIA,13,SpA,CONSTITUCIÓN,3000000,INDEPENDENCIA,13
3634202,77505516-2,TRANSPORTES RIVERA SPA,06-01-2022,06-01-2022,06-01-2022,2022,Enero,MALLOA,6,SpA,CONSTITUCIÓN,7000000,MALLOA,6
3632941,77505463-8,Inversiones e Inmobiliaria Versalles SpA,06-01-2022,06-01-2022,06-01-2022,2022,Enero,SANTIAGO,13,SpA,CONSTITUCIÓN,15000000,SANTIAGO,13
3625451,77505624-K,EL IMPERIO DE LOS PRECIOS BAJOS SPA,06-01-2022,06-01-2022,06-01-2022,2022,Enero,PROVIDENCIA,13,SpA,CONSTITUCIÓN,1000000,PROVIDENCIA,13
3629134,77506072-7,Ingeniería, Geomensura, Construcción, Medio Ambiente y Asesorías SpA,06-01-2022,07-01-2022,07-01-2022,2022,Enero,PROVIDENCIA,13,SpA,CONSTITUCIÓN,1500000,LOS ANDES,5
3581912,77506356-4,TecnologiaValdec SPA,07-01-2022,07-01-2022,07-01-2022,2022,Enero,TEMUCO,9,SpA,CONSTITUCIÓN,8000000,TEMUCO,9
3562380,77506088-3,ECOBLUE SpA,07-01-2022,07-01-2022,07-01-2022,2022,Enero,CONCEPCIÓN,8,SpA,CONSTITUCIÓN,1000000,CONCEPCIÓN,8
3639054,77506771-3,HD Solutions SpA,09-01-2022,09-01-2022,09-01-2022,2022,Enero,SANTIAGO,13,SpA,CONSTITUCIÓN,500000,SANTIAGO,13
3636556,77507462-0,Transportes G y F SpA,10-01-2022,10-01-2022,10-01-2022,2022,Enero,OSORNO,10,SpA,CONSTITUCIÓN,2000000,OSORNO,10
3640368,77507576-7,Caluc Corredores de Propiedades , Asesorías Financieras y de Pensión Spa,10-01-2022,10-01-2022,10-01-2022,2022,Enero,ÑUÑOA,13,SpA,CONSTITUCIÓN,200000,ÑUÑOA,13
3640757,77507781-6,Casa Estragon SpA,10-01-2022,10-01-2022,10-01-2022,2022,Enero,ÑUÑOA,13,SpA,CONSTITUCIÓN,3000000,ÑUÑOA,13
3641953,77508092-2,EMERGENTES BURGER BAR SPA,11-01-2022,11-01-2022,11-01-2022,2022,Enero,ARAUCO,8,SpA,CONSTITUCIÓN,4000000,ARAUCO,8
3642431,77508067-1,Servicios de Estetica David Armando Gonzalez Valenzuela E.I.R.L.,11-01-2022,11-01-2022,11-01-2022,2022,Enero,PROVIDENCIA,13,EIRL,CONSTITUCIÓN,500000,PROVIDENCIA,13
3643834,77508468-5,NINA COMUNICACIONES SPA,11-01-2022,11-01-2022,11-01-2022,2022,Enero,SAN BERNARDO,13,SpA,CONSTITUCIÓN,1000000,SAN BERNARDO,13
3641722,77507911-8,P Y C TRANSPORTES SPA,11-01-2022,11-01-2022,11-01-2022,2022,Enero,SAN PEDRO DE LA PAZ,8,SpA,CONSTITUCIÓN,600000,SAN PEDRO DE LA PAZ,8
3634923,77507929-0,MANEJO INTEGRAL DE PLAGAS LUANA CAMPILLAY E.I.R.L.,11-01-2022,11-01-2022,11-01-2022,2022,Enero,ÑUÑOA,13,EIRL,CONSTITUCIÓN,1000000,ÑUÑOA,13
3636845,77508641-6,Transportes Juan Mauricio Morales Soto E.I.R.L.,12-01-2022,12-01-2022,12-01-2022,2022,Enero,LAUTARO,9,EIRL,CONSTITUCIÓN,300000,LAUTARO,9
3630143,77508625-4,Corur limitada,12-01-2022,12-01-2022,12-01-2022,2022,Enero,BUIN,13,SRL,CONSTITUCIÓN,20000000,BUIN,13
3643201,77508525-8,Empresa de Turismo Black Dome Suits SpA,12-01-2022,12-01-2022,12-01-2022,2022,Enero,PINTO,16,SpA,CONSTITUCIÓN,5000000,PINTO,16
3645296,77508893-1,CONSTRUCTORA HECTOR HERNANDEZ E.I.R.L.,12-01-2022,12-01-2022,12-01-2022,2022,Enero,SAN RAFAEL,7,EIRL,CONSTITUCIÓN,10000000,SAN RAFAEL,7
3644950,77508822-2,B Y D CONSTRUCCIONES SPA,12-01-2022,12-01-2022,12-01-2022,2022,Enero,OVALLE,4,SpA,CONSTITUCIÓN,10000000,OVALLE,4
3643498,77509012-K,Servicios Integrales y de Consultoría CSG SpA,12-01-2022,12-01-2022,12-01-2022,2022,Enero,PROVIDENCIA,13,SpA,CONSTITUCIÓN,500000,PROVIDENCIA,13
3645433,77509082-0,LJV CONSTRUCCIONES SPA,12-01-2022,12-01-2022,12-01-2022,2022,Enero,PROVIDENCIA,13,SpA,CONSTITUCIÓN,2000000,PROVIDENCIA,13
3647822,77509628-4,Transportes Varas  CLAUDIO ANDRES VARAS GODOY E.I.R.L.,13-01-2022,13-01-2022,13-01-2022,2022,Enero,RANCAGUA,6,EIRL,CONSTITUCIÓN,500000,RANCAGUA,6
3631725,77509356-0,Belleza y Estética Damaris Limitada,13-01-2022,13-01-2022,13-01-2022,2022,Enero,ANGOL,9,SRL,CONSTITUCIÓN,5000000,ANGOL,9
3642202,77509149-5,Inversiones Antilaf Montenegro SpA,13-01-2022,13-01-2022,13-01-2022,2022,Enero,CARTAGENA,5,SpA,CONSTITUCIÓN,1500000,CARTAGENA,5
3641854,77509343-9,Soluciones y Servicios Mundo Piscinas SpA,13-01-2022,13-01-2022,13-01-2022,2022,Enero,IQUIQUE,1,SpA,CONSTITUCIÓN,1000000,IQUIQUE,1
3646502,77509377-3,AGE OF PARTY SpA,13-01-2022,13-01-2022,13-01-2022,2022,Enero,LONGAVI,7,SpA,CONSTITUCIÓN,5000000,LONGAVI,7
3646200,77509364-1,DISEÑO CARLA REPISO E.I.R.L.,13-01-2022,13-01-2022,13-01-2022,2022,Enero,CONCEPCIÓN,8,EIRL,CONSTITUCIÓN,670000,CONCEPCIÓN,8
3649059,77510606-9,CASA INTEGRA CONSTRUCCION SPA,14-01-2022,14-01-2022,14-01-2022,2022,Enero,LA GRANJA,13,SpA,CONSTITUCIÓN,5000000,LA GRANJA,13
3648289,77510383-3,SOCIEDAD MALUAN SpA,14-01-2022,14-01-2022,14-01-2022,2022,Enero,TEMUCO,9,SpA,CONSTITUCIÓN,10000000,TEMUCO,9
3648847,77510484-8,MANUALIDADES MEIER SPA,14-01-2022,14-01-2022,14-01-2022,2022,Enero,CALAMA,2,SpA,CONSTITUCIÓN,500000,CALAMA,2
3646759,77510749-9,CONSTRUCTORA A y A HERMANOS SPA,14-01-2022,14-01-2022,14-01-2022,2022,Enero,HUALQUI,8,SpA,CONSTITUCIÓN,1000000,HUALQUI,8
