ID,Reg,Poblacion
1,Región de Tarapacá,406.287
2,Región de Antofagasta,718.232
3,Región de Atacama,319.992
4,Región de Coquimbo,879.267
5,Región de Valparaíso,2.025.693
6,Región del Libertador General Bernardo O'Higgins,1.025.586
7,Región del Maule,1.171.982
8,Región del Biobío,1.686.225
9,Región de La Araucanía,1.032.164
10,Región de Los Lagos,912.171
11,Región de Aysén del General Carlos Ibáñez del Campo,108.538
12,Región de Magallanes y de la Antártica Chilena,183.235
13,Región Metropolitana de Santiago,8.420.729
14,Región de Los Ríos,412.786
15,Región de Arica y Parinacota,261.779
16,Región de Ñuble,521.711
