ID,titulo practica,RUT Companhia,sueldo,modalidad,formato
9141,Practicante en Psicomotricidad Infantil,77503168-9,250030,Trabajo presencial,Jornada de tiempo completo
15245,Practicante en Realidad Virtual,77503168-9,354569,Trabajo remoto,Jornadas de turnos
642,Practicante en Periodoncia,77503168-9,206164,Trabajo remoto,Jornada de medio tiempo
93500,Practicante en Vías y Transporte,77503168-9,313975,Trabajo remoto,Jornada de tiempo parcial
76376,Practicante en Animación y Modelado 3D,77503168-9,287486,Trabajo presencial,Jornadas de turnos
64299,Practicante en Geofísica,77503168-9,241715,Trabajo remoto,Jornada de tiempo parcial
26201,Practicante en Laboratorio Biológico,77503449-1,272893,Trabajo presencial,Jornada de tiempo completo
38641,Practicante en Genética,77503592-7,294927,Trabajo presencial,Jornada de medio tiempo
25988,Practicante en Docencia Histórica,77503592-7,257426,Trabajo remoto,Jornada de tiempo completo
54717,Practicante en Educación Ambiental,77503592-7,283996,Trabajo remoto,Jornadas flexibles
24274,Practicante en Electrónica de Potencia,77503592-7,235009,Trabajo remoto,Jornadas de turnos
48964,Practicante en Química Orgánica,77503592-7,248761,Trabajo presencial,Jornada de medio tiempo
65902,Practicante en Internet de las Cosas,77503972-8,301950,Trabajo presencial,Jornada de medio tiempo
19013,Practicante en Trabajo Social Penitenciario,77503972-8,203237,Trabajo presencial,Jornadas flexibles
44988,Practicante en Astrofísica,77503972-8,281226,Trabajo presencial,Jornada de medio tiempo
75729,Practicante en Sociología Urbana,77503972-8,228107,Trabajo remoto,Jornadas de turnos
89532,Practicante en Agencia de Diseño,77504034-3,311653,Trabajo presencial,Jornadas flexibles
6234,Practicante en Urbanismo,77504034-3,240632,Trabajo presencial,Jornada de tiempo completo
47775,Practicante en Cardiología,77504034-3,296008,Trabajo remoto,Jornada de tiempo parcial
79169,Practicante en Química Orgánica,77504034-3,277560,Trabajo remoto,Jornada de tiempo completo
70393,Practicante en Sociología de la Educación,77504034-3,201680,Trabajo remoto,Jornada de tiempo parcial
